JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
SE-101,Sales Executive,Fresher,0-1,CRM Basics; Lead Generation; Communication; Product Knowledge; Active Listening; Relationship Building; Time Management; Adaptability; Digital Sales Fundamentals; Sales Automation Awareness,Assist in managing customer leads and sales pipeline; Support sales campaigns and outreach; Learn product features and benefits for client interactions; Prepare basic sales reports; Collaborate with sales team members; Participate in virtual meetings and demos; Track client interactions using CRM tools; Assist in market research and competitor analysis; Provide excellent customer support; Develop basic sales and presentation skills,Sales Executive; CRM; Lead Generation; Digital Sales; Product Demo; Communication; Relationship Building; Time Management; Adaptability; Sales Basics
SE-102,Sales Executive,Mid-Level,5-Feb,Salesforce; HubSpot; Lead Generation; Closing Techniques; Negotiation; Product Demonstrations; Pipeline Management; Sales Forecasting; Social Selling; Time Management,Manage sales pipeline and lead conversion; Conduct product demonstrations and presentations; Negotiate deals and close sales; Analyze sales data for forecasting and strategy; Leverage CRM and automation tools to streamline sales processes; Build and maintain client relationships; Collaborate with marketing and product teams; Develop targeted outreach campaigns; Attend client meetings and virtual presentations; Track and report on sales performance metrics,Sales Executive; CRM; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demo; Social Selling; Sales Forecasting; Time Management
SE-103,Sales Executive,Experienced,10-May,Salesforce; HubSpot; Predictive Analytics; Lead Generation; Negotiation; Closing Techniques; Sales Automation; Social Selling; Data-driven Sales; Relationship Management,Lead strategic sales initiatives and high-value accounts; Leverage CRM and AI tools for sales forecasting and analytics; Negotiate contracts and close deals with key clients; Develop multi-channel outreach campaigns; Train and mentor junior sales team members; Build strong client relationships to enhance retention; Monitor sales KPIs and pipeline performance; Collaborate with marketing and product teams for sales alignment; Provide insights on market trends and customer behavior; Optimize sales processes using automation tools,Sales Executive; CRM; Predictive Analytics; Lead Generation; Negotiation; Closing Deals; Sales Automation; Social Selling; Data-driven Sales; Relationship Management
SE-104,Sales Executive,Fresher,0-1,CRM Basics; Lead Generation; Communication; Active Listening; Product Knowledge; Relationship Building; Digital Sales Awareness; Time Management; Adaptability; Customer Engagement,Support sales team in managing leads and pipeline; Assist in conducting product presentations and demos; Track customer interactions using CRM tools; Participate in virtual sales meetings; Collaborate with team members on campaigns; Provide customer support and follow-up; Assist in creating sales reports; Learn sales techniques and strategies; Monitor market and competitor activities; Develop basic data-driven insights for sales,Sales Executive; CRM; Lead Generation; Digital Sales; Product Demo; Communication; Relationship Building; Time Management; Adaptability; Customer Engagement
SE-105,Sales Executive,Mid-Level,5-Feb,Salesforce; HubSpot; Lead Generation; Negotiation; Closing Deals; Product Demos; Sales Forecasting; Pipeline Management; Social Selling; Time Management,Manage and optimize sales pipeline; Conduct product demonstrations for clients; Negotiate and close deals; Analyze sales data for forecasting and strategy; Leverage CRM tools for process automation; Build long-term client relationships; Collaborate with cross-functional teams; Participate in virtual selling initiatives; Develop outreach campaigns; Report sales performance metrics,Sales Executive; CRM; Lead Generation; Negotiation; Closing Deals; Product Demo; Sales Forecasting; Pipeline Management; Social Selling; Time Management
SE-106,Sales Executive,Experienced,10-May,Salesforce; HubSpot; Predictive Analytics; Lead Generation; Negotiation; Closing Techniques; Sales Automation; Social Selling; Data-driven Sales; Relationship Management,Lead strategic sales initiatives; Leverage CRM and AI tools for data-driven sales; Negotiate high-value deals; Develop multi-channel sales campaigns; Train and mentor junior sales executives; Build and maintain strong client relationships; Monitor KPIs and optimize pipeline; Collaborate with marketing and product teams; Analyze market trends and customer behavior; Implement sales automation for efficiency,Sales Executive; CRM; Predictive Analytics; Lead Generation; Negotiation; Closing Deals; Sales Automation; Social Selling; Data-driven Sales; Relationship Management
SE-107,Sales Executive,Fresher,0-1,CRM Basics; Lead Generation; Product Knowledge; Communication; Active Listening; Relationship Building; Time Management; Adaptability; Digital Sales Awareness; Customer Engagement,Assist in managing sales leads; Support team in product demos; Track client interactions; Participate in virtual sales meetings; Collaborate on campaigns; Provide customer follow-ups; Prepare basic sales reports; Learn sales techniques; Monitor competitors; Support data-driven sales insights,Sales Executive; CRM; Lead Generation; Product Demo; Communication; Relationship Building; Time Management; Adaptability; Digital Sales; Customer Engagement
SE-108,Sales Executive,Mid-Level,5-Feb,Salesforce; HubSpot; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demos; Sales Forecasting; Social Selling; Time Management,Manage sales pipeline and client leads; Conduct product demonstrations; Negotiate and close deals; Analyze sales metrics and forecasts; Leverage CRM tools for automation; Build client relationships; Collaborate with marketing and product teams; Participate in virtual sales activities; Develop outreach strategies; Report on sales performance,Sales Executive; CRM; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demo; Sales Forecasting; Social Selling; Time Management
SE-109,Sales Executive,Experienced,10-May,Salesforce; HubSpot; Predictive Analytics; Lead Generation; Negotiation; Closing Techniques; Sales Automation; Social Selling; Data-driven Sales; Relationship Management,Lead high-value client accounts; Utilize CRM and AI tools for analytics; Negotiate and close strategic deals; Develop multi-channel sales campaigns; Mentor junior sales executives; Maintain strong client relationships; Monitor KPIs and optimize pipeline; Collaborate with marketing and product teams; Analyze market trends; Implement sales automation for efficiency,Sales Executive; CRM; Predictive Analytics; Lead Generation; Negotiation; Closing Deals; Sales Automation; Social Selling; Data-driven Sales; Relationship Management
SE-110,Sales Executive,Fresher,0-1,CRM Basics; Lead Generation; Communication; Product Knowledge; Active Listening; Relationship Building; Time Management; Adaptability; Digital Sales Awareness; Customer Engagement,Assist in managing sales leads; Support team in product demos; Track client interactions; Participate in virtual meetings; Collaborate on campaigns; Provide follow-ups; Prepare basic sales reports; Learn sales techniques; Monitor competitors; Support data-driven insights,Sales Executive; CRM; Lead Generation; Product Demo; Communication; Relationship Building; Time Management; Adaptability; Digital Sales; Customer Engagement
SE-111,Sales Executive,Mid-Level,5-Feb,Salesforce; HubSpot; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demos; Sales Forecasting; Social Selling; Time Management,Manage and optimize sales pipeline; Conduct product demonstrations for clients; Negotiate and close deals; Analyze sales data for forecasting and strategy; Leverage CRM tools for process automation; Build long-term client relationships; Collaborate with cross-functional teams; Participate in virtual selling initiatives; Develop outreach campaigns; Report sales performance metrics,Sales Executive; CRM; Lead Generation; Negotiation; Closing Deals; Product Demo; Sales Forecasting; Pipeline Management; Social Selling; Time Management
SE-112,Sales Executive,Experienced,10-May,Salesforce; HubSpot; Predictive Analytics; Lead Generation; Negotiation; Closing Techniques; Sales Automation; Social Selling; Data-driven Sales; Relationship Management,Lead strategic sales initiatives; Leverage CRM and AI tools for data-driven sales; Negotiate high-value deals; Develop multi-channel sales campaigns; Train and mentor junior sales executives; Build and maintain strong client relationships; Monitor KPIs and optimize pipeline; Collaborate with marketing and product teams; Analyze market trends and customer behavior; Implement sales automation for efficiency,Sales Executive; CRM; Predictive Analytics; Lead Generation; Negotiation; Closing Deals; Sales Automation; Social Selling; Data-driven Sales; Relationship Management
SE-113,Sales Executive,Fresher,0-1,CRM Basics; Lead Generation; Product Knowledge; Communication; Active Listening; Relationship Building; Time Management; Adaptability; Digital Sales Awareness; Customer Engagement,Support sales team with lead management; Assist in product demos and presentations; Track and update client interactions; Participate in virtual sales calls; Collaborate with team members on campaigns; Provide customer follow-ups; Prepare basic sales reports; Learn sales techniques and tools; Monitor competitor activity; Assist in data-driven sales initiatives,Sales Executive; CRM; Lead Generation; Product Demo; Communication; Relationship Building; Time Management; Adaptability; Digital Sales; Customer Engagement
SE-114,Sales Executive,Mid-Level,5-Feb,Salesforce; HubSpot; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demos; Sales Forecasting; Social Selling; Time Management,Manage sales pipeline and lead conversion; Conduct product demonstrations; Negotiate and close deals; Analyze sales metrics and forecasts; Leverage CRM tools to optimize sales; Build and maintain client relationships; Collaborate with cross-functional teams; Implement virtual selling techniques; Develop targeted outreach campaigns; Report on sales performance metrics,Sales Executive; CRM; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demo; Sales Forecasting; Social Selling; Time Management
SE-115,Sales Executive,Experienced,10-May,Salesforce; HubSpot; Predictive Analytics; Lead Generation; Negotiation; Closing Techniques; Sales Automation; Social Selling; Data-driven Sales; Relationship Management,Lead high-value client accounts; Use CRM and AI tools for predictive sales analytics; Negotiate strategic deals; Develop multi-channel sales campaigns; Mentor junior sales executives; Maintain client relationships; Monitor KPIs and pipeline health; Collaborate with marketing and product teams; Analyze market trends; Implement sales automation strategies,Sales Executive; CRM; Predictive Analytics; Lead Generation; Negotiation; Closing Deals; Sales Automation; Social Selling; Data-driven Sales; Relationship Management
SE-116,Sales Executive,Fresher,0-1,CRM Basics; Lead Generation; Communication; Product Knowledge; Active Listening; Relationship Building; Time Management; Adaptability; Digital Sales Awareness; Customer Engagement,Assist in managing customer leads; Support sales demos and presentations; Track client communications; Participate in virtual sales meetings; Collaborate with team on campaigns; Provide customer follow-ups; Prepare basic sales reports; Learn sales strategies; Monitor competitor activities; Assist in data-driven sales projects,Sales Executive; CRM; Lead Generation; Product Demo; Communication; Relationship Building; Time Management; Adaptability; Digital Sales; Customer Engagement
SE-117,Sales Executive,Mid-Level,5-Feb,Salesforce; HubSpot; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demos; Sales Forecasting; Social Selling; Time Management,Manage sales pipeline and client accounts; Conduct product demos and presentations; Negotiate and close deals; Analyze sales data for strategy; Leverage CRM tools for automation; Build and maintain client relationships; Collaborate with cross-functional teams; Implement virtual selling tools; Develop sales campaigns; Report performance metrics,Sales Executive; CRM; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demo; Sales Forecasting; Social Selling; Time Management
SE-118,Sales Executive,Experienced,10-May,Salesforce; HubSpot; Predictive Analytics; Lead Generation; Negotiation; Closing Techniques; Sales Automation; Social Selling; Data-driven Sales; Relationship Management,Lead key client accounts; Utilize CRM and AI tools for predictive analytics; Negotiate high-value deals; Develop multi-channel campaigns; Mentor and train junior executives; Maintain strong client relationships; Monitor sales KPIs and pipeline health; Collaborate with marketing and product teams; Analyze trends and market insights; Implement sales automation for efficiency,Sales Executive; CRM; Predictive Analytics; Lead Generation; Negotiation; Closing Deals; Sales Automation; Social Selling; Data-driven Sales; Relationship Management
SE-119,Sales Executive,Fresher,0-1,CRM Basics; Lead Generation; Product Knowledge; Communication; Active Listening; Relationship Building; Time Management; Adaptability; Digital Sales Awareness; Customer Engagement,Support sales team in lead management; Assist in product demos; Track customer interactions; Participate in virtual meetings; Collaborate with campaigns; Provide follow-ups; Prepare basic reports; Learn sales techniques; Monitor competitors; Support data-driven initiatives,Sales Executive; CRM; Lead Generation; Product Demo; Communication; Relationship Building; Time Management; Adaptability; Digital Sales; Customer Engagement
SE-120,Sales Executive,Mid-Level,5-Feb,Salesforce; HubSpot; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demos; Sales Forecasting; Social Selling; Time Management,Manage and optimize sales pipeline; Conduct product demos for clients; Negotiate and close deals; Analyze sales metrics for strategy; Leverage CRM and automation tools; Build client relationships; Collaborate with marketing and product teams; Participate in virtual selling initiatives; Develop outreach campaigns; Report on sales performance metrics,Sales Executive; CRM; Lead Generation; Negotiation; Closing Deals; Pipeline Management; Product Demo; Sales Forecasting; Social Selling; Time Management
SEO-001,SEO Specialist,Fresher,0-2,"Keyword research; On-page SEO; Off-page SEO basics; HTML, CSS, JavaScript basics; Google Analytics GA4; Google Search Console; Content optimization; Link building basics; Local SEO; Mobile SEO",Assist in keyword research and content optimization; Implement basic on-page and off-page SEO strategies; Monitor site performance using Google Analytics and Search Console; Support link building campaigns; Optimize pages for local and mobile search; Collaborate with content team for SEO-friendly content; Assist in reporting and SEO analysis; Learn and adapt to new SEO tools and trends,SEO; On-Page SEO; Off-Page SEO; Keyword Research; Google Analytics; Search Console; Content Optimization; Link Building; Local SEO; Mobile SEO
SEO-002,SEO Specialist,Fresher,0-2,Technical SEO basics; Page speed optimization; Schema markup basics; Crawlability checks; Site indexing basics; SEO copywriting; Content optimization; Google Analytics GA4; Looker Studio; Link building,Support technical SEO audits; Implement basic page speed and schema optimizations; Assist in crawlability and indexing improvements; Optimize content for SEO; Monitor analytics and generate reports; Collaborate with developers and content team; Assist in backlink analysis; Learn AI-driven SEO tools,Technical SEO; Page Speed; Schema Markup; Crawlability; Indexing; SEO Copywriting; Content Optimization; Analytics; Link Building; GA4
SEO-003,SEO Specialist,Mid-Level,5-Feb,Advanced SEO strategy; Technical SEO audits; Schema markup and structured data; Site speed optimization; AI-driven SEO tools; Content marketing optimization; Link building strategy; Google Analytics GA4; Search Console; Looker Studio; Local & mobile SEO; Voice search optimization; Visual search optimization,"Plan and execute advanced SEO strategies; Perform technical SEO audits and implement optimizations; Optimize site speed and structured data; Leverage AI tools for keyword research and content insights; Develop content optimization plans; Lead link building initiatives; Track analytics and report performance; Optimize for multimodal search (voice, image, video); Ensure privacy-compliant SEO practices (GDPR)",SEO Strategy; Technical SEO; Schema Markup; Page Speed; AI SEO Tools; Content Optimization; Link Building; GA4; Search Console; Voice Search; Visual Search; Local SEO; Mobile SEO
SEO-004,SEO Specialist,Mid-Level,5-Mar,Technical SEO; On-page and off-page optimization; Content strategy and SEO copywriting; Link building; Site architecture optimization; AI-powered SEO analytics; Google Analytics GA4; Looker Studio; Search Console; Privacy-compliant SEO (GDPR),Execute technical SEO audits and implement fixes; Optimize on-page and off-page SEO; Develop content strategy aligned with SEO goals; Lead link building campaigns; Monitor and report SEO performance; Leverage AI-powered SEO tools for insights; Collaborate with cross-functional teams to implement SEO changes; Ensure SEO practices comply with privacy regulations,Technical SEO; On-Page SEO; Off-Page SEO; Content Strategy; Link Building; Site Architecture; AI SEO Tools; GA4; Search Console; Privacy Compliance
SEO-005,SEO Specialist,Experienced,8-May,"SEO strategy development; Advanced technical SEO; Crawlability, indexing, and site structure optimization; Schema markup and structured data implementation; AI and machine learning in SEO; Multimodal search optimization; Content strategy and SEO copywriting; Link building strategy; Analytics and reporting (GA4, Looker Studio, Search Console); Privacy-compliant SEO strategies","Lead SEO strategy across multiple channels; Perform advanced technical SEO audits; Optimize crawlability, indexing, and site structure; Implement schema markup and structured data; Integrate AI and machine learning tools into SEO workflow; Optimize for voice, image, and video search; Develop content strategy and oversee SEO copywriting; Plan and execute link building campaigns; Monitor SEO KPIs and report to stakeholders; Ensure GDPR and privacy compliance in SEO practices",SEO Strategy; Technical SEO; Schema Markup; Crawlability; Indexing; AI SEO Tools; Multimodal Search; Content Strategy; Link Building; GA4; Privacy Compliance
SEO-006,SEO Specialist,Experienced,7-May,Advanced on-page and off-page SEO; Technical SEO audits; Page speed and mobile optimization; Schema markup and structured data; AI-driven SEO insights; Content marketing optimization; Link building strategy; Local SEO and voice search optimization; Google Analytics GA4; Search Console; Looker Studio,Develop and implement comprehensive SEO strategies; Perform technical SEO audits and optimize pages; Enhance site speed and mobile performance; Implement schema markup and structured data; Leverage AI tools for keyword and content optimization; Lead content marketing and link building campaigns; Optimize local SEO and voice search performance; Monitor analytics and generate performance reports; Collaborate with marketing and development teams,SEO; Technical SEO; On-Page SEO; Off-Page SEO; Page Speed; Schema Markup; AI SEO Tools; Content Optimization; Link Building; Local SEO; Voice Search
SEO-007,SEO Specialist,Mid-Level,6-Mar,Technical SEO; Advanced content optimization; Link building and backlink analysis; Site speed optimization; Schema markup implementation; Multimodal search optimization; Privacy-compliant SEO (GDPR); Google Analytics GA4; Search Console; Looker Studio,"Execute technical SEO audits and implement best practices; Optimize content for search engines; Lead link building campaigns and backlink analysis; Improve page speed and site performance; Implement schema markup and structured data; Optimize for voice, video, and visual search; Ensure SEO compliance with privacy regulations; Generate reports using analytics tools",Technical SEO; Content Optimization; Link Building; Page Speed; Schema Markup; Multimodal Search; Privacy Compliance; GA4; Search Console
SEO-008,SEO Specialist,Experienced,9-Jun,"SEO strategy and planning; Advanced technical SEO; Crawlability and indexing optimization; Content strategy and SEO copywriting; Link building and outreach; Multimodal search optimization; AI-powered SEO tools; Analytics and reporting (GA4, Looker Studio); Privacy-compliant SEO strategies","Lead SEO strategy and planning; Perform technical SEO audits and optimizations; Optimize crawlability and site indexing; Develop content strategy and oversee SEO copywriting; Manage link building and outreach campaigns; Implement voice, image, and video search optimizations; Leverage AI tools for SEO insights; Monitor KPIs and generate reports; Ensure compliance with GDPR and privacy standards",SEO Strategy; Technical SEO; Content Strategy; Link Building; Multimodal Search; AI SEO Tools; Analytics; Privacy Compliance; GA4
SEO-009,SEO Specialist,Experienced,8-May,Technical SEO audits; Page speed and performance optimization; Schema markup and structured data; Content optimization; AI-driven SEO tools; Link building strategy; Local SEO optimization; Voice and visual search optimization; Analytics and reporting; Privacy compliance (GDPR),Conduct comprehensive technical SEO audits; Optimize page speed and mobile performance; Implement schema markup and structured data; Oversee content optimization; Use AI-powered SEO tools to improve rankings; Lead link building campaigns; Optimize local SEO; Implement voice and visual search strategies; Monitor performance metrics and report insights; Ensure privacy compliance in SEO,Technical SEO; Page Speed; Schema Markup; Content Optimization; AI SEO Tools; Link Building; Local SEO; Voice Search; Visual Search; Analytics; Privacy Compliance
SEO-010,SEO Specialist,Mid-Level,5-Mar,"SEO strategy; On-page and off-page optimization; Technical SEO audits; Content strategy; Link building; AI-driven SEO insights; Analytics (GA4, Search Console, Looker Studio); Multimodal search optimization; Privacy-compliant SEO","Develop and execute SEO strategies; Optimize on-page and off-page SEO; Perform technical SEO audits; Lead content strategy and optimization; Plan and execute link building campaigns; Leverage AI tools for keyword and content optimization; Monitor analytics and KPIs; Optimize for voice, image, and video search; Ensure GDPR and privacy compliance",SEO Strategy; On-Page SEO; Off-Page SEO; Technical SEO; Content Strategy; Link Building; AI SEO Tools; GA4; Search Console; Privacy Compliance
SEO-011,SEO Specialist,Fresher,0-2,Keyword research; On-page SEO; Off-page SEO; Basic HTML/CSS; Content optimization; Google Analytics basics; Search Console basics; Social media SEO basics; Local SEO basics; Basic link building,Support SEO campaigns through keyword research; Assist with on-page and off-page optimization; Collaborate with content team to optimize web pages; Track SEO metrics using analytics tools; Learn advanced SEO techniques; Support local and social media SEO initiatives; Assist in backlink analysis; Generate SEO reports for team review,SEO; Keyword Research; On-Page SEO; Off-Page SEO; Content Optimization; Google Analytics; Search Console; Local SEO; Link Building
SEO-012,SEO Specialist,Experienced,10-May,"SEO strategy development; Advanced technical SEO; AI-powered SEO tools; Content strategy and optimization; Link building campaigns; Analytics and reporting (GA4, Looker Studio, Search Console); Multimodal search optimization; Privacy compliance (GDPR); Voice and visual search optimization; Local SEO strategy","Lead overall SEO strategy; Implement advanced technical SEO improvements; Leverage AI-powered SEO tools; Develop and execute content strategy; Plan and execute link building campaigns; Monitor performance metrics and create reports; Optimize for voice, image, and video search; Ensure compliance with GDPR and privacy laws; Collaborate with cross-functional teams for SEO implementation",SEO Strategy; Technical SEO; Content Optimization; Link Building; AI SEO Tools; Multimodal Search; GA4; Search Console; Privacy Compliance; Voice Search
SEO-013,SEO Specialist,Mid-Level,5-Feb,Technical SEO; On-page optimization; Off-page optimization; Content marketing; Link building; Google Analytics GA4; Search Console; Looker Studio; Schema markup; Page speed optimization,Conduct technical SEO audits; Optimize website pages for on-page SEO; Support off-page SEO strategies; Coordinate content marketing efforts; Lead link building initiatives; Track performance using analytics tools; Optimize page speed and implement schema markup; Report SEO insights to team,Technical SEO; On-Page SEO; Off-Page SEO; Content Marketing; Link Building; GA4; Search Console; Schema Markup; Page Speed
SEO-014,SEO Specialist,Experienced,9-Jun,SEO strategy and execution; Advanced technical SEO; Content strategy and optimization; Link building; AI-powered SEO tools; Multimodal search optimization; Analytics and reporting; Privacy-compliant SEO; Local and mobile SEO optimization; Stakeholder communication,"Lead SEO strategy and planning; Perform advanced technical SEO audits; Develop content strategy and oversee optimization; Manage link building campaigns; Leverage AI-powered SEO tools; Optimize for voice, image, and video search; Track analytics and generate reports; Ensure GDPR and privacy compliance; Optimize local and mobile SEO performance; Communicate SEO strategy to stakeholders",SEO Strategy; Technical SEO; Content Strategy; Link Building; AI SEO Tools; Multimodal Search; Analytics; Privacy Compliance; Local SEO; Mobile SEO
SEO-015,SEO Specialist,Mid-Level,6-Mar,"Technical SEO audits; On-page and off-page optimization; Content optimization; Link building; Analytics (GA4, Looker Studio); Schema markup; Page speed optimization; Voice search optimization; Visual search optimization; Local SEO",Conduct technical SEO audits; Optimize on-page and off-page SEO; Lead content optimization initiatives; Manage link building campaigns; Monitor SEO performance using analytics tools; Implement schema markup; Optimize page speed and mobile performance; Optimize for voice and visual search; Manage local SEO initiatives,Technical SEO; On-Page SEO; Off-Page SEO; Content Optimization; Link Building; Analytics; Schema Markup; Page Speed; Voice Search; Visual Search; Local SEO
SEO-016,SEO Specialist,Experienced,8-May,"SEO strategy; Technical SEO audits; Advanced content strategy; Link building and outreach; Analytics and reporting (GA4, Looker Studio, Search Console); AI-driven SEO insights; Multimodal search optimization; Privacy-compliant SEO; Local SEO optimization; Mobile SEO optimization","Lead SEO strategy and execution; Perform advanced technical SEO audits; Develop content strategy and oversee optimization; Manage link building campaigns and outreach; Monitor analytics and generate reports; Leverage AI tools for SEO insights; Optimize for multimodal search (voice, image, video); Ensure privacy compliance (GDPR); Optimize local and mobile SEO performance",SEO Strategy; Technical SEO; Content Strategy; Link Building; AI SEO Tools; Multimodal Search; Analytics; Privacy Compliance; Local SEO; Mobile SEO
SEO-017,SEO Specialist,Fresher,0-2,Keyword research; On-page SEO basics; Off-page SEO basics; Content optimization basics; HTML/CSS basics; Google Analytics basics; Search Console basics; Local SEO basics; Mobile SEO basics; Link building basics,Assist in keyword research; Support on-page and off-page SEO; Optimize content under guidance; Learn analytics tools for reporting; Support local and mobile SEO optimization; Assist in backlink analysis; Collaborate with content and marketing teams; Stay updated on SEO trends,SEO; Keyword Research; On-Page SEO; Off-Page SEO; Content Optimization; GA4; Search Console; Local SEO; Mobile SEO; Link Building
SEO-018,SEO Specialist,Experienced,10-Jul,"SEO strategy and roadmap; Technical SEO audits; Advanced content strategy; Link building strategy; AI-powered SEO tools; Multimodal search optimization; Analytics and reporting (GA4, Looker Studio, Search Console); Privacy-compliant SEO strategies; Local and mobile SEO optimization; Voice and visual search optimization","Define and lead SEO strategy; Conduct technical SEO audits and optimizations; Develop and implement advanced content strategy; Plan and execute link building campaigns; Leverage AI SEO tools for insights; Optimize for voice, image, and video search; Monitor performance metrics and report to stakeholders; Ensure GDPR and privacy compliance; Optimize local and mobile SEO; Collaborate with cross-functional teams for SEO execution",SEO Strategy; Technical SEO; Content Strategy; Link Building; AI SEO Tools; Multimodal Search; Analytics; Privacy Compliance; Local SEO; Mobile SEO; Voice Search
SEO-019,SEO Specialist,Mid-Level,6-Mar,"Technical SEO audits; On-page and off-page optimization; Content strategy; Link building; Analytics (GA4, Looker Studio, Search Console); Schema markup; Page speed optimization; Voice search optimization; Visual search optimization; Local SEO optimization",Conduct technical SEO audits; Optimize website on-page and off-page; Develop and implement content strategy; Lead link building campaigns; Monitor analytics and generate reports; Implement schema markup and structured data; Optimize page speed and mobile performance; Optimize for voice and visual search; Manage local SEO initiatives,Technical SEO; On-Page SEO; Off-Page SEO; Content Strategy; Link Building; Analytics; Schema Markup; Page Speed; Voice Search; Visual Search; Local SEO
SEO-020,SEO Specialist,Experienced,9-May,SEO strategy; Technical SEO audits; Advanced content strategy; Link building; AI-powered SEO tools; Multimodal search optimization; Analytics and reporting; Privacy compliance (GDPR); Local and mobile SEO optimization; Stakeholder communication,"Lead overall SEO strategy; Perform technical SEO audits and optimizations; Develop and implement content strategy; Plan and execute link building campaigns; Leverage AI-powered SEO tools for insights; Optimize for voice, image, and video search; Monitor performance metrics and report to stakeholders; Ensure privacy-compliant SEO practices; Optimize local and mobile SEO performance; Collaborate with teams to implement SEO best practices",SEO Strategy; Technical SEO; Content Strategy; Link Building; AI SEO Tools; Multimodal Search; Analytics; Privacy Compliance; Local SEO; Mobile SEO
SRE-F-001,Site Reliability Engineer,Fresher,0-1,Python basics; Bash scripting basics; Linux fundamentals; Windows OS basics; Cloud fundamentals (AWS/Azure/GCP); Docker basics; Kubernetes introduction; Monitoring basics (Prometheus/Grafana/Nagios); TCP/IP networking basics; Basic CI/CD concepts; Problem-solving; Collaboration; Communication,Assist in system and network administration tasks; Support CI/CD pipeline setup; Learn containerization with Docker and Kubernetes; Monitor system health and report issues; Document infrastructure and procedures; Collaborate with senior engineers,Python; Bash; Linux; Docker; Kubernetes; AWS; CI/CD; Prometheus; Monitoring; Networking
SRE-F-002,Site Reliability Engineer,Fresher,0-1,"Python basics; Shell scripting (Bash/Zsh); Linux OS basics; Windows OS fundamentals; Cloud platforms basics (AWS/Azure/GCP); Docker fundamentals; Kubernetes basics; Monitoring tools intro (Prometheus, Grafana); Networking basics (TCP/IP, DNS); Basic automation scripts; Analytical thinking; Time management; Communication",Assist in system monitoring and uptime tracking; Support CI/CD pipeline implementation; Learn container orchestration; Document processes and assist in incident reporting; Collaborate with development and operations teams,Python; Bash; Linux; Docker; Kubernetes; AWS; CI/CD; Prometheus; Networking; Automation
SRE-F-003,Site Reliability Engineer,Fresher,0-1,"Python basics; Bash scripting basics; Linux administration fundamentals; Windows OS basics; Introduction to cloud platforms; Containerization basics (Docker); Kubernetes basics; Basic monitoring (Nagios, Grafana); Networking fundamentals; Problem-solving; Collaboration; Communication; Adaptability",Assist in setting up monitoring dashboards; Support CI/CD pipelines and automation scripts; Learn container orchestration with Kubernetes; Document incidents and processes; Work with senior SREs on troubleshooting tasks,Python; Bash; Linux; Docker; Kubernetes; AWS; Monitoring; CI/CD; Networking; Automation
SRE-F-004,Site Reliability Engineer,Fresher,0-1,"Python basics; Shell scripting; Linux basics; Windows OS fundamentals; Cloud fundamentals (AWS, GCP, Azure); Docker basics; Kubernetes basics; Intro to monitoring (Prometheus/Grafana); TCP/IP networking; Basic CI/CD; Analytical thinking; Time management; Communication",Assist in maintaining infrastructure uptime; Support containerized application deployments; Monitor system performance; Document workflows; Collaborate with DevOps and development teams,Python; Bash; Linux; Docker; Kubernetes; AWS; CI/CD; Prometheus; Networking; Monitoring
SRE-F-005,Site Reliability Engineer,Fresher,0-1,"Python basics; Bash/Shell scripting; Linux administration basics; Windows fundamentals; Cloud platform basics (AWS/Azure/GCP); Docker introduction; Kubernetes introduction; Monitoring basics (Nagios, Grafana); Networking basics (TCP/IP, DNS); CI/CD fundamentals; Problem-solving; Collaboration; Communication",Assist in infrastructure management; Support deployment automation and CI/CD pipelines; Monitor system health and report anomalies; Document procedures and troubleshooting steps; Collaborate with senior engineers for learning and task execution,Python; Bash; Linux; Docker; Kubernetes; AWS; CI/CD; Monitoring; Networking; Automation
SRE-E-006,Site Reliability Engineer,Experienced,3+,"Python advanced; Go programming; Java scripting; Bash/Zsh scripting; Linux administration expert; Windows administration; Cloud platforms expert (AWS, Azure, GCP); Docker, Kubernetes advanced; CI/CD pipelines (Jenkins, Bamboo, GitHub Actions); Infrastructure as Code (Terraform, Ansible, Puppet, Chef); Monitoring and logging (Prometheus, Grafana, ELK Stack, Nagios, Splunk); Networking (TCP/IP, DNS, Load Balancing); Automation scripting; Distributed systems design; Security and compliance basics; Problem-solving; Collaboration; Communication","Design, implement, and manage reliable infrastructure; Automate deployments and monitoring; Manage containerized applications with Kubernetes and Docker; Implement Infrastructure as Code (IaC) solutions; Troubleshoot and optimize distributed systems; Collaborate with DevOps, security, and development teams; Monitor and ensure high availability of services",Python; Go; Linux; Docker; Kubernetes; AWS; Terraform; CI/CD; Prometheus; Monitoring
